oid,M_Ni_fid,M_Ni_err_hi,M_Ni_err_lo,M_Ni_stat_hi,M_Ni_stat_lo,M_Ni_sys,Das_M_Ni_mean,Das_M_Ni_hi,Das_M_Ni_lo,Das_Ek_mean,Das_Ek_hi,Das_Ek_lo,in_sample
ZTF23abaxtlq,0.028911626738625445,0.014736616497854285,0.010801705052893617,0.012642200409917679,0.007702869429595642,0.007572491967662191,0.01798,0.0002699999999999,0.00032,2.305e+51,1.5700000000000007e+50,1.2599999999999998e+50,True
ZTF23abnogui,0.012072024745989453,0.003276484723295395,0.0031588080399211275,0.0013819269525387331,0.0010735167410130338,0.002970796196280571,0.01186,8.99999999999998e-05,0.00029,7.908e+50,8.40000000000001e+48,6.090000000000003e+49,True
ZTF21abrluay,,,,,,,0.1196,0.0134,0.0084,8.488e+51,1.0319999999999994e+51,1.848e+51,False
ZTF22abfxkdm,,,,,,,0.02086,0.0025899999999999,0.0029199999999999,4.642e+51,3.310000000000001e+50,2.270000000000001e+50,False
ZTF23aasrcyv,,,,,,,0.005634,0.0564599999999999,0.004188,3.159e+51,4.350000000000002e+50,1.6510000000000002e+51,False
ZTF22abkhrkd,,,,,,,0.03523,0.02658,0.0134499999999999,2.9199999999999998e+51,9.36e+50,1.98162e+51,False
ZTF21aaagypx,,,,,,,0.09118,0.0082399999999999,0.0045199999999999,6.328e+51,3.140000000000001e+50,4.520000000000002e+50,False
ZTF18aawpwlf,,,,,,,0.07228,0.00397,0.0043699999999999,2.6310000000000002e+51,2.86e+50,2.7099999999999994e+50,False
ZTF22aafsqud,,,,,,,0.02387,0.01642,0.0133899999999999,3.966e+51,6.309999999999999e+50,7.040000000000002e+50,False
ZTF21acafqtj,,,,,,,0.06523,0.00248,0.0064099999999999,5.8099999999999995e+51,2.720000000000002e+50,5.660000000000001e+50,False
ZTF19abqrhvt,,,,,,,0.1079,0.004,0.0039,8.165e+51,3.609999999999996e+50,3.57000000000001e+50,False
ZTF21aaipypa,,,,,,,0.07362,0.06968,0.02091,9.411e+51,5.759999999999999e+50,4.565e+51,False
ZTF20acuhren,,,,,,,0.02271,0.0027399999999999,0.01883,8.686000000000001e+50,2.200000000000009e+49,3.4500000000000017e+49,False
ZTF24aaucrua,,,,,,,0.04198,0.0024299999999999,0.00413,1.401e+51,2.710000000000001e+50,1.4100000000000003e+50,False
ZTF22aapargp,,,,,,,0.03843,0.01778,0.0176799999999999,8.663e+51,9.040000000000005e+50,1.4350000000000002e+51,False
ZTF23aaqknaw,,,,,,,0.05778,0.00483,0.0049299999999999,9.855e+51,7.999999999999984e+49,1.5060000000000002e+51,False
ZTF22abhsxph,,,,,,,0.06106,0.00329,0.00367,5.399e+51,5.459999999999998e+50,5.1200000000000035e+50,False
ZTF22abzqwmp,,,,,,,0.008706,0.0013039999999999,0.005578,3.045e+51,2.3499999999999995e+50,6.490000000000002e+50,False
ZTF24aabsmvc,,,,,,,0.0193549999999999,0.016835,0.0084449999999999,4.748e+51,4.5499999999999975e+50,9.98e+50,False
ZTF21aantsla,,,,,,,0.05517,0.00491,0.0068599999999999,3.157e+51,4.730000000000002e+50,2.7199999999999992e+50,False
ZTF23aanymcl,,,,,,,0.09065,0.007,0.00526,4.913e+51,5.200000000000003e+50,5.229999999999999e+50,False
ZTF19acrcxri,,,,,,,0.1867,0.0104999999999999,0.15536,8.117e+51,8.290000000000002e+50,1.7100000000000007e+51,False
ZTF21aakvroo,,,,,,,0.1283,0.0070999999999999,0.0165,1.9710000000000002e+51,8.880000000000001e+50,2.119999999999997e+50,False
ZTF22absqhkw,,,,,,,0.08623,0.0044199999999999,0.00357,4.155e+51,4.9499999999999976e+50,4.379999999999998e+50,False
ZTF18abzrgim,,,,,,,0.2628,0.0245,0.0119999999999999,8.519e+51,1.0550000000000006e+51,2.3170000000000004e+51,False
ZTF21aapliyn,,,,,,,0.1057,0.0152999999999999,0.0041999999999999,8.528000000000001e+51,4.950000000000004e+50,2.0820400000000004e+51,False
ZTF21abjcjmc,,,,,,,0.0504,0.0258659999999991,0.0018299999999999,4.321e+51,1.7899999999999966e+50,2.1289199999999984e+51,False
ZTF22abyohff,,,,,,,0.01079,0.03732,0.0098190999999999,3.464e+51,8.500000000000001e+50,1.9929999999999998e+51,False
ZTF19aazudta,,,,,,,0.1117,0.0342,0.0116,8.685e+51,9.800000000000004e+50,5.047e+51,False
ZTF22aarycqo,,,,,,,0.1651,0.2029,0.14516,1.3680000000000001e+51,1.024e+51,5.756999999999999e+50,False
ZTF19aamwhat,,,,,,,0.01157,0.00076,0.0003899999999999,1.042e+51,8.599999999999988e+49,3.800000000000012e+49,False
ZTF22abyokkf,,,,,,,0.1685,0.0085999999999999,0.0084,9.676e+51,2.3899999999999987e+50,7.830000000000004e+50,False
ZTF24aaabbse,,,,,,,0.1851,0.01,0.0082999999999999,3.3910000000000003e+51,2.1200000000000004e+50,2.2399999999999978e+50,False
ZTF19abqrhvy,,,,,,,0.237,0.0068,0.13834,7.174e+51,7.739999999999995e+50,2.5250000000000002e+51,False
ZTF18aaszvfn,,,,,,,0.06782,0.0136099999999999,0.0067,2.707e+51,1.7700000000000003e+50,1.9400000000000004e+50,False
ZTF22abfwxtr,,,,,,,0.01557,0.04382,0.00226,5.5860000000000004e+51,3.2100000000000034e+50,2.014e+51,False
ZTF21aaobkmg,,,,,,,0.01837,0.00127,0.00132,8.856e+50,1.200000000000011e+49,8.319999999999995e+49,False
ZTF24aabpzuz,,,,,,,0.09191,0.0073399999999999,0.00304,6.005000000000001e+51,3.72000000000001e+50,9.78599999999998e+50,False
ZTF19aawgxdn,,,,,,,0.1194,0.0085999999999999,0.0061,9.404e+51,4.960000000000001e+50,9.010000000000002e+50,False
ZTF22aazmrpx,,,,,,,0.0008644,0.0023656,8.540000000000002e-05,5.157e+50,5.749999999999993e+49,1.8500000000000068e+49,False
ZTF21abnudtb,,,,,,,0.007424,0.202376,0.001151,6.24e+51,3.5280000000000014e+51,7.099999999999994e+50,False
ZTF24aafqzur,,,,,,,0.06579,0.00415,0.00345,6e+51,7.249999999999995e+50,4.6900000000000016e+50,False
