sourcename,nimean,nilow,niup,ejmean,ejlow,ejup,radmean,radlow,radup,ekmean,eklow,ekup,etmean,etlow,etup,velmean,vellow,velup,peakr,peakrhost,volumefac
ZTF22aazmrpx,0.0008644,8.540000000000002e-05,0.0023656,6.748,0.26900000000000013,0.2999999999999998,348.71352594509125,1670000000000.0,3430000000000.0,5.157e+50,1.850000000000007e+49,5.749999999999993e+49,1.449e+50,2.2200000000000002e+49,1.1199999999999999e+49,3579.0,82.0,173.0,-15.2,-15.2,1.31825673855641e+21
ZTF21abnudtb,0.007424,0.0011510000000000001,0.202376,14.975,1.475999999999999,0.6870000000000012,1064.6830530401035,10380000000000.0,3150000000000.0,6.24e+51,7.099999999999994e+50,3.528000000000001e+51,2.029e+51,6.290000000000001e+50,3.0699999999999993e+50,8360.0,523.0,2160.0,-18.1,-18.1,3.3750000000000024e+21
ZTF24aafqzur,0.06579,0.0034500000000000017,0.004150000000000001,17.134,1.1000000000000014,1.501999999999999,97.91576829093,1072000000000.0,942000000000.0,6e+51,4.690000000000002e+50,7.249999999999995e+50,5.052e+51,5.600000000000002e+50,1.0879999999999997e+51,7673.0,292.0799999999976,339.0,-16.72,-16.72,3.3750000000000024e+21
ZTF22aavobvq,0.05914,0.0032000000000000015,0.007739999999999997,15.805,1.234,0.5199999999999996,279.574529251114,1030000000000.0,1370000000000.0,9.712e+51,9.270000000000004e+50,2.7600000000000018e+50,7.923e+51,7.117599999999991e+50,3.259999999999999e+50,10260.0,720.0,40.0,-18.26,-18.26,3.3750000000000024e+21
ZTF21ablvzhp,0.2763,0.0116,0.013500000000000012,17.105,1.0839999999999996,0.6069999999999993,714.2446456806094,4050000000000.0,2630000000000.0,9.758e+51,8.759999999999996e+50,2.3700000000000057e+50,2.376e+51,1.3399999999999983e+50,1.5600000000000009e+50,9837.0,605.0,53.0,-18.12,-18.12,3.3750000000000024e+21
ZTF23aaaatjn,0.1593,0.0528,0.021199999999999997,14.471,1.0709999999999997,1.9379999999999988,902.1129797326433,9170000000000.0,12620000000000.0,7.02e+51,7.509999999999996e+50,9.509999999999999e+50,2.401e+51,2.810000000000001e+50,4.279999999999997e+50,8995.0,353.0,312.0,-18.51,-18.51,3.3750000000000024e+21
ZTF21acgunkr,0.0274,0.014320000000000001,0.033028399999999965,10.044,2.1960000000000006,1.9149999999999991,806.2383211154233,21740000000000.0,14900000000000.0,1.455e+51,5.403000000000001e+50,7.170000000000001e+50,8.466e+50,2.0750000000000004e+50,4.863999999999999e+50,4949.0,542.0,613.0,-17.77,-17.77,3.3750000000000024e+21
ZTF21abgilzj,0.06898,0.0041100000000000025,0.00469,11.692,0.6880000000000006,0.8339999999999996,339.370418283743,1420000000000.0,1810000000000.0,2.322e+51,1.4100000000000003e+50,1.730000000000001e+50,3.091e+51,2.4700000000000005e+50,1.7400000000000008e+50,5759.0,197.0,342.0,-18.12,-18.12,3.3750000000000024e+21
ZTF24aabppgn,0.02033,0.0048400000000000006,0.004580000000000001,8.47,0.33200000000000074,0.7959999999999994,690.8150064683053,26400000000000.0,20920000000000.0,8.425e+50,7.439999999999994e+49,4.190000000000005e+49,1.45e+50,4.884e+49,2.09e+50,4075.0,331.0,129.0,-15.52,-15.52,2.0511621788255542e+21
ZTF20acmaaan,0.04962,0.0027599999999999986,0.002489999999999999,9.544,0.5709999999999997,0.6890000000000001,264.48181687508986,4840000000000.0,15640000000000.0,2.776e+51,2.49e+50,2.8799999999999996e+50,6.859e+50,3.1348400000000004e+50,2.632999999999999e+50,6994.0,301.0,289.0,-16.37,-16.37,3.3750000000000024e+21
ZTF23aackjhs,0.01544,0.0008000000000000004,0.000700000000000001,6.224,0.1770000000000005,0.4559999999999995,137.91864309328733,2069000000000.0,1625000000000.0,5.267e+50,2.3699999999999974e+49,3.279999999999997e+49,1.62e+50,2.2499999999999997e+49,4.3300000000000004e+49,3783.0,171.0,52.0,-14.82,-15.0,1e+21
